college_id,admission_id,gpa,sat,act,matric,university_id,hook_athlete,hook_first_gen,hook_legacy
198,10774,10.13,1340,,William & Mary,231624,FALSE,FALSE,FALSE
199,10702,10.12,1530,31,Bowdoin College,161004,FALSE,FALSE,FALSE
200,10029,10.1,1210,,Emory University,139658,TRUE,FALSE,FALSE
201,10546,10.1,,31,Yale University,130794,FALSE,FALSE,TRUE
202,10659,10.08,1190,28,Bowdoin College,161004,TRUE,FALSE,FALSE
203,10086,10.05,,33,Williams College,168342,FALSE,FALSE,TRUE
204,10180,10,1510,,New York University,193900,FALSE,FALSE,FALSE
205,10171,9.98,,34,Pitzer College,121257,FALSE,FALSE,FALSE
206,10716,9.97,,34,Duke University,198419,FALSE,FALSE,FALSE
207,10551,9.91,1290,,Hobart William Smith Colleges,191630,FALSE,FALSE,FALSE
208,10393,9.89,1410,33,University of Southern California,123961,FALSE,FALSE,FALSE
209,10492,9.85,1430,34,Providence College,217402,FALSE,FALSE,TRUE
210,15911,9.84,1350,23,Trinity College,130590,FALSE,FALSE,FALSE
211,10074,9.79,,28,Bucknell University,211291,FALSE,FALSE,FALSE
212,10350,9.78,1480,,Oberlin College,204501,FALSE,FALSE,FALSE
213,10362,9.77,1530,,Fordham University,191241,TRUE,FALSE,FALSE
214,10665,9.76,,28,Dartmouth College,182670,FALSE,TRUE,FALSE
215,10307,9.74,1430,26,Babson College,164580,FALSE,FALSE,FALSE
216,10547,9.73,1170,,University of Chicago,144050,FALSE,FALSE,FALSE
217,10667,9.73,1100,,Wake Forest University,199847,FALSE,FALSE,FALSE
218,10076,9.72,1200,,Washington University in St Louis,179867,FALSE,FALSE,TRUE
219,10811,9.7,1300,,New York University,193900,FALSE,FALSE,FALSE
220,10773,9.69,1160,,Emory University,139658,FALSE,FALSE,FALSE
221,10450,9.68,1320,,Dartmouth College,182670,FALSE,FALSE,FALSE
222,10759,9.68,1430,,Bowdoin College,161004,FALSE,FALSE,FALSE
223,10437,9.67,1160,,Barnard College,189097,TRUE,FALSE,FALSE
224,10545,9.67,1310,,Emory University,139658,FALSE,FALSE,FALSE
225,10039,9.66,1210,,Providence College,217402,FALSE,FALSE,FALSE
226,10713,9.65,1100,21,Brandeis University,165015,FALSE,FALSE,FALSE
227,10125,9.64,1360,,Northeastern University,167358,FALSE,FALSE,FALSE
228,10440,9.64,1410,,Colby College,161086,FALSE,FALSE,FALSE
