admission_id,grad_year,gender,ethnicity,entry_grade,FA_status,incoming_testing,incoming_gpa,boarding,faculty_child,legacy_child,sending_ms_id
10195,2019,M,European American (Caucasian),7,0,5,10.79,FALSE,FALSE,FALSE,203
10331,2019,F,Asian American,7,0,5,10.27,FALSE,FALSE,FALSE,203
10077,2019,M,European American (Caucasian),9,0,5,10.78,FALSE,FALSE,FALSE,84
10244,2019,F,Asian American,7,0,5,10.4,FALSE,FALSE,FALSE,203
10101,2019,F,European American (Caucasian),7,0,5,10.48,FALSE,FALSE,FALSE,203
10288,2019,M,European American (Caucasian),7,0,5,9.25,FALSE,FALSE,FALSE,203
10309,2019,M,African American,9,2,5,9.59,FALSE,FALSE,FALSE,199
10289,2019,F,Asian American,7,0,5,10.83,FALSE,FALSE,FALSE,203
10269,2019,M,Asian American,9,0,5,10.15,FALSE,FALSE,FALSE,62
10128,2019,M,European American (Caucasian),9,0,5,10.6,FALSE,FALSE,FALSE,241
10332,2019,F,European American (Caucasian),7,0,5,8.89,FALSE,FALSE,TRUE,203
10328,2019,M,European American (Caucasian),7,0,5,10.91,FALSE,TRUE,FALSE,203
10218,2019,F,European American (Caucasian),9,0,5,10.85,FALSE,FALSE,TRUE,200
10549,2019,M,Multiracial American,11,1,5,10.56,FALSE,FALSE,FALSE,264
10082,2019,M,European American (Caucasian),9,0,5,9.97,FALSE,FALSE,FALSE,305
10358,2019,F,European American (Caucasian),9,0,5,10.95,FALSE,FALSE,FALSE,305
10191,2019,M,African American,7,0,5,10.16,FALSE,FALSE,FALSE,203
10057,2019,M,European American (Caucasian),7,0,5,10.66,FALSE,FALSE,TRUE,203
